SE,drugA,drugB
C0030193,carvedilol,aliskiren
C0020649,metronidazole,trazodone
C0020649,sumatriptan,retinoic acid
C0002871,naproxen,prednisolone
C0020649,NaCl,warfarin
C0020649,BCNU,diltiazem
C0004093,ramipril,pimecrolimus
C0027497,irbesartan,spironolactone
C0020649,alprazolam,retinoic acid
C0020649,indomethacin,propranolol
C0002871,mupirocin,nitroglycerin
C0015672,digoxin,aripiprazole
C0002871,ketoprofen,meloxicam
C0020649,butorphanol,cetirizine
C0042963,alprazolam,tranylcypromine
C0013404,alprazolam,trazodone
C0013404,quinapril,sorafenib
C0015672,verapamil,donepezil
C0027497,lorazepam,cromolyn
C0002871,methylphenidate,pemoline
C0002871,folate,lansoprazole
C0002871,verapamil,doxazosin
C0013404,verapamil,Ets
C0002871,prostaglandin E1,dexamethasone
C0020649,verapamil,doxepin
C0013404,bisoprolol,felodipine
C0002871,cephalexin,cefdinir
C0002871,hydromorphone,nitroglycerin
C0027497,heparin,glatiramer acetate
C0020649,thyroxine,triamcinolone
C0020649,fluconazole,tamsulosin
C0020649,cefaclor,ondansetron
C0020649,cefaclor,omeprazole
C0020649,gabapentin,progesterone
C0013404,ceftriaxone,cephalexin
C0020649,cefaclor,orlistat
C0020649,ceftriaxone,celecoxib
C0002871,tramadol,megestrol
C0020649,atropine,nalbuphine
C0020649,hydromorphone,pantoprazole
C0013404,etodolac,sibutramine
C0020649,sertraline,cinacalcet
C0020649,minoxidil,NaCl
C0002871,imipramine,temazepam
C0002871,didanosine,bosentan
C0013404,nitrofurantoin,desloratadine
C0027497,enalapril,GGG
C0020649,enalapril,granisetron
C0015967,rapamycin,dutasteride
C0020649,atropine,oxycodone
C0027497,fluvoxamine,gabapentin
C0020649,ketorolac,timolol
C0000737,acyclovir,famciclovir
C0002871,acyclovir,famotidine
C0013404,quinidine,prednisone
C0020649,pantoprazole,trazodone
C0015672,pantoprazole,tranylcypromine
C0398353,butorphanol,piroxicam
C0030193,quinidine,primidone
C0020649,tamsulosin,RSA
C0004093,enalapril,memantine
C0002871,ceftriaxone,ranitidine
C0002871,ceftriaxone,ramipril
C0013404,digoxin,erythromycin
C0013404,rivastigmine,ropinirole
C0027497,lamotrigine,NaCl
C0020649,enalapril,meperidine
C0020649,aspirin,octreotide
C0020649,fentanyl,pemetrexed
C0020649,isosorbide-5-mononitrate,cinacalcet
C0015967,memantine,olopatadine
C0020649,leuprolide acetate,colesevelam hydrochloride
C0020649,fexofenadine,octreotide
C0020649,citalopram,lisinopril
C0020649,leuprolide acetate,zopiclone
C0002871,ethambutol,caspofungin
C0036572,morphine,nimodipine
C0002871,rofecoxib,entacapone
C0020649,felodipine,sucralfate
C0020649,leuprolide acetate,zolpidem
C0020649,morphine,nisoldipine
C0002871,aripiprazole,fluticasone
C0013404,mannitol,prednisolone
C0020649,prostacyclin,raloxifene
C0002871,prostacyclin,ranitidine
C0002871,lorazepam,fondaparinux sodium
C0027497,fosinopril,irbesartan
C0015672,trazodone,nateglinide
C0013404,lamotrigine,zidovudine
C0020649,naproxen,clonazepam
C0020649,naproxen,clonidine
C0018790,naproxen,clomiphene citrate
C0020649,prostacyclin,promethazine
C0020649,naproxen,clopidogrel
C0020649,ketorolac,valdecoxib
C0032285,gatifloxacin,clarithromycin
C0015967,ranitidine,apolar
C0020649,monamine,temazepam
C0011991,heparin,almotriptan
C0013404,indomethacin,nevirapine
C0020649,itraconazole,tizanidine
C0020649,pravastatin,dobutamine
C0013404,cephalexin,nevirapine
C0002871,methocarbamol,rosuvastatin
C0032285,spironolactone,zonisamide
C0020649,gemfibrozil,ofloxacin
C0020538,mesna,nifedipine
C0020649,baclofen,montelukast
C0012833,calcipotriol,pantoprazole
C0020649,celecoxib,rabeprazole
C0002871,didanosine,clarithromycin
C0020649,clonazepam,hydrochlorothiazide
C0020649,sevelamer,paricalcitol
C0020649,pioglitazone,tolterodine
C0002871,5-fluorouracil,exemestane
C0030193,propranolol,selegiline
C0002871,prochlorperazine,rosiglitazone
C0020649,efavirenz,lamotrigine
C0020649,efavirenz,lamivudine
C0020649,loperamide,propranolol
C0002871,theophylline,cisplatin
C0042963,prochlorperazine,eletriptan
C0020649,amlodipine,chlorthalidone
C0020649,itraconazole,stavudine
C0020649,salmeterol,nystatin
C0002871,ursodeoxycholic acid,voriconazole
C0013404,itraconazole,salmeterol
C0032285,calcium,atovaquone
C0002871,ursodeoxycholic acid,clarithromycin
C0020649,ursodeoxycholic acid,atovaquone
C0013404,mannitol,lidocaine
C0002871,fentanyl,fludarabine
C0020649,oxycodone,quinapril
C0027497,mannitol,ibuprofen
C0020649,zafirlukast,isosorbide-5-mononitrate
C0020649,heparin,iopamidol
C0020649,heparin,iopromide
C0002871,heparin,iohexol
C0013404,mannitol,allopurinol
C0013604,chlorpromazine,flurazepam
C0013404,mupirocin,valacyclovir
C0002871,quazepam,risedronate
C0013404,gemfibrozil,temazepam
C0027497,isosorbide-5-mononitrate,SU11248
C0002871,repaglinide,paroxetine
C0032285,bumetanide,NaCl
C0020649,EHDP,leflunomide
C0020649,verapamil,primidone
C0020649,5-fluorouracil,folate
C0013404,clopidogrel,orlistat
C0020649,cefotaxime,vitamin B12
C0020649,verapamil,prednisone
C0020649,clopidogrel,ondansetron
C0020649,formoterol,lansoprazole
C0020649,galantamine,lisinopril
C0020649,salbutamol,fluconazole
C0020649,salbutamol,fludarabine
C0020649,indomethacin,oxycodone
C0020649,doxorubicin,folate
C0020649,cefazolin,fluticasone
C0027497,zolmitriptan,ibandronate
C0027497,mefloquine,zolpidem
C0013404,amphotericin B,amoxicillin
C0002871,doxorubicin,fluvastatin
C0020649,prednisone,paricalcitol
C0015672,candesartan,mitomycin C
C0020649,NaCl,vincristine
C0020649,donepezil,spironolactone
C0032285,bupropion,alprazolam
C0020649,carvedilol,ibuprofen
C0012833,zidovudine,ETV
C0020649,gemfibrozil,mometasone
C0027497,naproxen,5-aminosalicylic acid
C0013404,bupropion,misoprostol
C0020649,carvedilol,phenelzine
C0002871,olanzapine,triamcinolone
C0002871,rizatriptan,simvastatin
C0020649,sufentanil,torasemide
C0020649,carvedilol,prednisone
C0020649,naproxen,labetalol
C0013404,tacrolimus,rosuvastatin
C0002871,carvedilol,primidone
C0027497,losartan,TMC114
C0008031,doxycycline,methylprednisolone
C0020649,doxycycline,methylphenidate
C0011609,prostacyclin,5-aminosalicylic acid
C0032285,paroxetine,quazepam
C0027497,fexofenadine,haloperidol
C0002871,omeprazole,dacarbazine
C0013404,paroxetine,pyridostigmine
C0013404,promethazine,valacyclovir
C0020649,metformin,tobramycin
C0002871,prednisone,atovaquone
C0002871,sulfate,telmisartan
C0011991,ritonavir,voriconazole
C0027497,candesartan,lovastatin
C0020649,flecainide,ibuprofen
C0002871,candesartan,losartan
C0020649,promethazine,ursodeoxycholic acid
C0020649,alendronate,chloroquine
C0013404,alendronate,chlordiazepoxide
C0020649,alendronate,chlorhexidine
C0002871,propranolol,propylthiouracil
C0020649,estradiol,moexipril
C0030193,methotrexate,minocycline
C0027497,tetracycline,sorafenib
C0020649,heparin,desflurane
C0020649,dipyridamole,fluoxetine
C0027497,atorvastatin,varenicline
C0032285,azathioprine,lisinopril
C0020649,clomipramine,oxcarbazepine
C0013404,losartan,moxifloxacin
C0020649,doxycycline,formoterol
C0020649,levetiracetam,olmesartan medoxomil
C0002871,losartan,morphine
C0027497,methocarbamol,darifenacin
C0030193,pioglitazone,erlotinib
C0015967,cefotaxime,ranitidine
C0009676,lamivudine,imiquimod
C0020649,ciclopirox,metoclopramide
C0013404,chlorothiazide,enalapril
C0020649,levetiracetam,solifenacin succinate
C0002871,hydrochlorothiazide,temozolomide
C0020649,morphine,vecuronium
C0013404,ketoprofen,ramipril
C0020649,ketoprofen,ranitidine
C0013404,hydrochlorothiazide,temazepam
C0020649,oxybutynin,piroxicam
C0032285,ciprofloxacin,galantamine
C0013404,nicotine,amlodipine
C0027497,nicotine,amitriptyline
C0027497,ketoprofen,raloxifene
C0002871,mitotane,omeprazole
C0027497,mitotane,ondansetron
C0030193,quinidine,metronidazole
C0020649,quinidine,metolazone
C0020649,quinidine,metoprolol
C0020649,metolazone,omeprazole
C0020649,epinephrine,captopril
C0020649,epinephrine,carbamazepine
C0020649,moxifloxacin,zopiclone
C0027497,ipratropium bromide,voriconazole
C0020649,bupropion,cortisol
C0030193,enalapril,pramipexole
C0013404,bupropion,oxazepam
C0020649,bupropion,oxaprozin
C0020649,bupropion,hydromorphone
C0020649,dicyclomine,valdecoxib
C0032285,enalapril,pravastatin
C0020649,ketorolac,sildenafil
C0007787,donepezil,oxaliplatin
C0002871,gatifloxacin,cefpodoxime
C0032285,methamphetamine,citalopram
C0020649,alprazolam,torasemide
C0003862,donepezil,oseltamivir
C0002871,etodolac,prochlorperazine
C0020649,oxaliplatin,megestrol
C0020649,pioglitazone,rofecoxib
C0002871,sulfate,paclitaxel
C0013404,lorazepam,ertapenem
C0027497,nadolol,tegaserod
C0013404,ceftazidime,valacyclovir
C0020649,ceftazidime,ursodeoxycholic acid
C0020649,epinephrine,prednisolone
C0020649,pantoprazole,goserelin
C0020649,paroxetine,zafirlukast
C0008033,digoxin,O-desmethylvenlafaxine
C0018799,mitoxantrone,rosiglitazone
C0020649,donepezil,lorazepam
C0013404,methyldopa,metronidazole
C0020649,lorazepam,tolterodine
C0020649,donepezil,loratadine
C0013404,donepezil,loperamide
C0020649,paroxetine,zaleplon
C0020649,lorazepam,topiramate
C0020649,naproxen,acyclovir
C0030193,bupropion,flurbiprofen
C0002871,bupropion,flurazepam
C0020649,folate,pantoprazole
C0020649,oxycodone,levetiracetam
C0030193,sildenafil,misoprostol
C0015672,aripiprazole,montelukast
C0002871,amphotericin B,medroxyprogesterone
C0002871,omeprazole,aripiprazole
C0027497,benazepril,ribavirin
C0002871,dolasetron,granisetron
C0042963,methotrexate,rapamycin
C0000737,efavirenz,montelukast
C0020649,epinephrine,sulfate
C0020649,allopurinol,posaconazole
C0015672,phenytoin,ibuprofen
C0020649,phenytoin,lidocaine
C0020649,isoniazid,zolpidem
C0013404,cefuroxime,pravastatin
C0020649,simvastatin,cefpodoxime
C0015672,triiodothyronine,budesonide
C0020649,hydromorphone,megestrol
C0013404,erythromycin,pregabalin
C0020649,citalopram,allopurinol
C0030193,ciprofloxacin,fulvestrant
C0020649,tolterodine,voriconazole
C0020649,diazepam,fosphenytoin
C0020649,ibuprofen,indomethacin
C0398353,captopril,chlorpromazine
C0020649,diclofenac,vecuronium
C0030193,anastrozole,fluticasone
C0020649,azelastine,rofecoxib
C0013404,topiramate,bosentan
C0020649,2-chlorodeoxyadenosine,allopurinol
C0020649,torasemide,sulfasalazine
C0020649,atenolol,eptifibatide
C0020649,orlistat,acarbose
C0020649,glibenclamide,tegaserod
C0020649,cyclophosphamide,omeprazole
C0020649,cyclophosphamide,ondansetron
C0020649,alendronate,temazepam
C0020649,ceftazidime,methotrexate
C0008033,sumatriptan,telithromycin
C0032285,dantrolene,NaCl
C0004093,pentoxifylline,aminophylline
C0002871,alendronate,temozolomide
C0013404,galactose,ofloxacin
C0013404,alfuzosin,famotidine
C0020649,sotalol,allopurinol
C0020649,benazepril,zolpidem
C0002871,captopril,vincristine
C0011991,vitamin D,etodolac
C0002871,ifosfamide,irinotecan
C0020649,lansoprazole,paricalcitol
C0020649,vitamin D,EHDP
C0013404,verapamil,allopurinol
C0002871,nitroglycerin,TMC114
C0020649,promethazine,trihexyphenidyl
C0020649,itraconazole,mometasone
C0032285,methotrexate,zopiclone
C0020649,methotrexate,zonisamide
C0030193,carbamazepine,lenalidomide
C0027497,methotrexate,zolpidem
C0032285,methotrexate,zolmitriptan
C0011991,ethambutol,allopurinol
C0020649,clonazepam,rofecoxib
C0030193,cetirizine,dapsone
C0020649,clozapine,NaCl
C0020649,clonazepam,ropinirole
C0020649,donepezil,flunisolide
C0002871,clopidogrel,iloprost
C0002871,sevoflurane,sufentanil
C0020649,theophylline,valsartan
C0020649,ketorolac,metoclopramide
C0011991,ondansetron,probenecid
C0027497,theophylline,venlafaxine
C0013404,carbamazepine,nitrofurantoin
C0027497,telmisartan,erlotinib
C0009676,phenytoin,trazodone
C0398353,galactose,meloxicam
C0032285,budesonide,nitrofurantoin
C0020649,loperamide,testosterone
C0002871,cyclobenzaprine,zoledronic acid
C0032285,sodium bicarbonate,alfentanil
C0020649,carbamazepine,nitrazepam
C0020649,azelastine,ropinirole
C0020649,heparin,erythromycin
C0002871,brimonidine,atropine
C0002871,irinotecan,octreotide
C0020649,ibuprofen,olmesartan medoxomil
C0002871,famotidine,granisetron
C0020649,famotidine,GGG
C0085649,dexamethasone,mitoxantrone
C0020649,lansoprazole,rifampicin
C0020649,flunisolide,GGG
C0020649,clotrimazole,nifedipine
C0020649,clomipramine,nortriptyline
C0020649,GGG,tramadol
C0020649,calcitriol,valdecoxib
C0020649,indinavir,loperamide
C0002871,digoxin,moexipril
C0027497,gemfibrozil,topiramate
C0020649,galantamine,metoprolol
C0002871,lansoprazole,adefovir dipivoxil
C0002871,olopatadine,zoledronic acid
C0020649,pioglitazone,propofol
C0020649,pioglitazone,propranolol
C0013404,bumetanide,clarithromycin
C0020649,glipizide,paclitaxel
C0020649,lamotrigine,trimethoprim
C0020649,fludarabine,torasemide
C0002871,spironolactone,rosiglitazone
C0013404,lansoprazole,fosphenytoin
C0020649,progesterone,tamoxifen
C0020649,venlafaxine,zonisamide
C0027497,clonidine,varenicline
C0013144,paroxetine,remifentanil
C0013404,lamotrigine,trihexyphenidyl
C0013404,terazosin,zopiclone
C0032285,fluticasone,atovaquone
C0027497,carbamazepine,cyclophosphamide
C0002871,alendronate,vincristine
C0020649,carbamazepine,cyclosporine
C0020649,vitamin B12,doxycycline
C0013404,cimetidine,retinoic acid
C0020649,furosemide,hydroxychloroquine
C0030193,propofol,carboplatin
C0020649,N-acetylcysteine,ceftriaxone
C0020649,N-acetylcysteine,ceftazidime
C0020649,meloxicam,nadolol
C0027497,brinzolamide,travoprost
C0020649,glipizide,temazepam
C0020649,N-acetylcysteine,cefuroxime
C0002871,simvastatin,iloprost
C0020649,meloxicam,gatifloxacin
C0032285,zolpidem,voriconazole
C0020649,nabumetone,risedronate
C0020649,vitamin K1,temazepam
C0020649,thyroxine,chlorthalidone
C0027497,thyroxine,chlorzoxazone
C0020649,latanoprost,sertraline
C0020649,calcium,metoclopramide
C0020649,atorvastatin,carboplatin
C0020649,ranitidine,levetiracetam
C0020649,etoposide,scopolamine
C0020649,thyroxine,etomidate
C0020649,ciprofloxacin,etomidate
C0020649,risperidone,stavudine
C0020649,granisetron,tramadol
C0013404,pregabalin,telithromycin
C0020649,cytosine arabinoside,tramadol
C0020649,risperidone,salmeterol
C0013404,finasteride,bortezomib
C0000737,haloperidol,indomethacin
C0020649,lovastatin,clobetasol
C0020649,carvedilol,lithium
C0020649,pramipexole,warfarin
C0002871,bupropion,valganciclovir
C0020649,irbesartan,ribavirin
C0020649,fluoxetine,hydroxyzine
C0020649,hydroxyzine,repaglinide
C0027497,pramipexole,progesterone
C0013404,hydroxyzine,nortriptyline
C0020649,diazepam,clarithromycin
C0032285,carbamazepine,vinorelbine
C0015672,miconazole,triamcinolone
C0040034,isoniazid,auranofin
C0020649,paroxetine,ICL670
C0002871,imatinib,ezetimibe
C0013404,delta 9-tetrahydrocannabinol,simvastatin
C0020649,fenofibrate,galantamine
C0013404,hydroxyzine,prednisolone
C0040034,buprenorphine,vancomycin
C0013404,fenofibrate,gabapentin
C0002871,buprenorphine,venlafaxine
C0020649,hydroxychloroquine,warfarin
C0020649,darifenacin,solifenacin succinate
C0002871,fluoxetine,hydroxychloroquine
C0020649,sulfate,cisplatin
C0013404,nicotine,venlafaxine
C0020538,nicotine,vancomycin
C0013404,nicotine,valsartan
C0002871,cortisol,linezolid
C0020649,beclomethasone,celecoxib
C0020649,buprenorphine,pregabalin
C0013404,leucovorin,nicotinic acid
C0020649,beclomethasone,cephalexin
C0013404,felodipine,ritonavir
C0002871,vitamin B12,testosterone
C0020649,dicyclomine,rofecoxib
C0008031,nabumetone,prednisolone
C0020649,clindamycin,levetiracetam
C0020649,vitamin B12,terazosin
C0008031,ranitidine,colesevelam hydrochloride
C0027497,vitamin B12,terbinafine
C0020649,hydroxyurea,nitroglycerin
C0020649,fluoxetine,orphenadrine
C0020649,lidocaine,N-0437
C0020649,cyclosporine,itraconazole
C0020649,cortisol,scopolamine
C0020649,theophylline,valdecoxib
C0020649,vitamin A,cetirizine
C0020649,nizatidine,paroxetine
C0002871,methotrexate,trospium chloride
C0012833,amiloride,lactulose
C0027497,prednisolone,hydroxocobalamin
C0015672,flurazepam,lisinopril
C0002871,zopiclone,sodium bicarbonate
C0002871,estazolam,metronidazole
C0015672,Ets,loteprednol etabonate
C0020649,estazolam,metoprolol
C0020649,adenosine,zolpidem
C0020649,atenolol,ICL670
C0013404,prednisone,triazolam
C0020649,memantine,metoprolol
C0020649,captopril,tobramycin
C0002871,promethazine,rosiglitazone
C0002871,moxifloxacin,cefdinir
C0020649,buspirone,losartan
C0020649,buspirone,lovastatin
C0002871,digoxin,promethazine
C0013404,warfarin,dofetilide
C0020649,fluoxetine,warfarin
C0002871,terazosin,lactulose
C0020649,thyroxine,digoxin
C0020649,loperamide,triamcinolone
C0013404,thyroxine,dihydroergotamine
C0002871,ceftriaxone,iopromide
C0020649,nicotinic acid,norfloxacin
C0020649,pemoline,zolpidem
C0085649,memantine,metolazone
C0013404,clonidine,salmeterol
C0020649,dapsone,duloxetine
C0027497,acyclovir,imiquimod
C0020649,ketorolac,propranolol
C0020649,amitriptyline,fexofenadine
C0002871,dextromethorphan,loperamide
C0015967,doxepin,trimipramine
C0085649,alprazolam,gadodiamide
C0020649,doxazosin,tamoxifen
C0020649,acyclovir,sertraline
C0002871,acyclovir,atorvastatin
C0002871,atorvastatin,cerivastatin
C0020649,doxazosin,tacrolimus
C0002871,amlodipine,galantamine
C0002871,clopidogrel,clobetasol
C0020649,timolol,megestrol
C0013404,atorvastatin,cetirizine
C0020649,simvastatin,aprepitant
C0002871,doxazosin,gatifloxacin
C0020649,sumatriptan,warfarin
C0020649,aspirin,hydroxyzine
C0020649,doxepin,fluvoxamine
C0002871,doxepin,folate
C0013404,doxepin,fluvastatin
C0020649,imipramine,fluticasone
C0002871,famciclovir,triamcinolone
C0020649,loperamide,ropinirole
C0020649,metoprolol,nicardipine
C0020649,doxazosin,itraconazole
C0020649,cefazolin,sodium bicarbonate
C0015672,amphetamine,atomoxetine
C0032285,calcium,alprazolam
C0002871,zolpidem,valganciclovir
C0002871,nicotinic acid,doxycycline
C0020649,gabapentin,promethazine
C0020649,finasteride,metformin
C0015967,ofloxacin,pancuronium
C0013404,cyclobenzaprine,megestrol
C0020649,cytosine arabinoside,cefpodoxime
C0020649,ofloxacin,pantoprazole
C0009676,acetazolamide,zonisamide
C0030193,retinoic acid,pregabalin
C0013404,cimetidine,clopidogrel
C0015967,droperidol,furosemide
C0002871,glimepiride,SU11248
C0002871,droperidol,gabapentin
C0002871,glibenclamide,oxazepam
C0020649,fluconazole,darifenacin
C0020649,norethisterone,KCl
C0020649,ciprofloxacin,diclofenac
C0020649,nadolol,ofloxacin
C0020649,doxycycline,mometasone
C0020649,nadolol,olanzapine
C0002871,diltiazem,ICL670
C0015672,ipratropium bromide,tiotropium
C0020649,clonidine,mirtazapine
C0020649,dolasetron,quetiapine
C0020649,ipratropium bromide,duloxetine
C0020649,clonidine,minoxidil
C0002871,atenolol,beclomethasone
C0002871,famciclovir,medroxyprogesterone
C0020649,naproxen,capecitabine
C0020649,cefuroxime,nadolol
C0020649,bupivacaine,pregabalin
C0002871,ciprofloxacin,cefdinir
C0020649,thyroxine,promethazine
C0020649,acyclovir,valproic acid
C0020649,diazepam,nitroglycerin
C0027497,thyroxine,progesterone
C0020649,dexamethasone,hydroxychloroquine
C0020649,diazepam,nizatidine
C0020649,methotrexate,quazepam
C0020649,dexamethasone,hydroxyzine
C0020649,beclomethasone,metformin
C0013404,carbamazepine,pyridostigmine
C0002871,ceftriaxone,NaCl
C0002871,terazosin,aripiprazole
C0002871,carbamazepine,quazepam
C0020649,amphetamine,retinoic acid
C0020649,aspirin,leuprolide acetate
C0002871,amoxicillin,salmeterol
C0027497,triiodothyronine,glipizide
C0013404,N-acetylcysteine,tramadol
C0013404,aspirin,penicillin V
C0002871,minocycline,retinoic acid
C0015672,triiodothyronine,glimepiride
C0002871,thyroxine,ramipril
C0027497,thyroxine,ranitidine
C0020649,pioglitazone,tamoxifen
C0002871,propofol,voriconazole
C0020649,iopromide,isosorbide-5-mononitrate
C0002871,hydrochlorothiazide,capecitabine
C0020649,vitamin B12,lisinopril
C0020649,thyroxine,raloxifene
C0020649,theophylline,pirbuterol
C0020649,amlodipine,linezolid
C0030193,droperidol,vecuronium
C0020649,tizanidine,entacapone
C0020649,aspirin,iopromide
C0020649,docetaxel,gentamicin
C0002871,morphine,fondaparinux sodium
C0032285,moxifloxacin,pirbuterol
C0232492,folate,nelfinavir
C0027497,leuprolide acetate,norethisterone
C0027497,ritonavir,atovaquone
C0018802,metolazone,clobetasol
C0020649,cyclophosphamide,propranolol
C0013404,cyclobenzaprine,nitroglycerin
C0002871,kanamycin,lactulose
C0020649,cyclobenzaprine,nizatidine
C0020649,linezolid,tiotropium
C0020649,triamcinolone,sucralfate
C0020649,linezolid,duloxetine
C0002871,itraconazole,clarithromycin
C0020649,fexofenadine,lenalidomide
C0020649,bupivacaine,isoflurane
C0002871,ciprofloxacin,imipramine
C0020649,hydroxyurea,ipratropium bromide
C0011991,ciprofloxacin,ifosfamide
C0020649,glipizide,isosorbide-5-mononitrate
C0002871,didanosine,allopurinol
C0020649,tobramycin,cisplatin
C0020649,calcium,fexofenadine
C0027497,atropine,pravastatin
C0020649,lansoprazole,sevelamer
C0020649,ceftriaxone,miconazole
C0020649,calcium,fentanyl
C0020649,ipratropium bromide,ribavirin
C0027497,isosorbide-5-mononitrate,varenicline
C0027497,levetiracetam,darifenacin
C0002871,mesna,diclofenac
C0020649,clozapine,hydroxyzine
C0020649,NaCl,aminophylline
C0002871,famciclovir,modafinil
C0020649,clonazepam,diclofenac
C0020649,midazolam,zolpidem
C0002871,clozapine,hydroxychloroquine
C0020649,hydrochlorothiazide,metoclopramide
C0002871,vinorelbine,capecitabine
C0027497,ofloxacin,tigecycline
C0020649,hydroxyzine,neomycin
C0020649,temazepam,eletriptan
C0002871,diazepam,valacyclovir
C0002871,diazepam,ursodeoxycholic acid
C0013404,fluvastatin,tolterodine
C0020649,ciprofloxacin,losartan
C0020649,ciprofloxacin,lovastatin
C0013404,modafinil,balsalazide
C0020649,oxaprozin,sertraline
C0042963,metoclopramide,atomoxetine
C0020649,hydroxyzine,cisplatin
C0002871,fenofibrate,dutasteride
C0008033,letrozole,tamsulosin
C0002871,isosorbide dinitrate,carboplatin
C0013404,dexamethasone,aripiprazole
C0002871,terbinafine,ezetimibe
C0004093,quetiapine,atomoxetine
C0020649,famciclovir,ofloxacin
C0013404,doxazosin,aripiprazole
C0002871,venlafaxine,nateglinide
C0027497,ramipril,dofetilide
C0011991,nevirapine,tipranavir
C0002871,famciclovir,olanzapine
C0020649,ciprofloxacin,tramadol
C0002871,irbesartan,cinacalcet
C0015672,vitamin B12,sucralfate
C0002871,amoxicillin,tizanidine
C0002871,tobramycin,desloratadine
C0013604,allopurinol,verteporfin
C0020649,oxycodone,amiloride
C0020649,metoprolol,ranolazine
C0002871,bisoprolol,fenofibrate
C0020649,glibenclamide,triamcinolone
C0085649,warfarin,gadoversetamide
C0020649,imipramine,lithium
C0020649,5-fluorouracil,hydromorphone
C0020649,hydroxyurea,acenocoumarol
C0002871,sulfate,budesonide
C0002871,leucovorin,azithromycin
C0002871,alendronate,ziprasidone
C0013404,5-fluorouracil,cortisol
C0013404,letrozole,oxcarbazepine
C0020649,ceftazidime,furosemide
